# New HSK word list (January 2012) V1.0
# Level 1 to 6 -- 5000 words
# Source : http://cedric.hartland.free.fr
# hsk source list from http://www.davidpetersson.com
# Translations from CEDICT Dictionary (see http://www.mdbg.net)
# Distributed under Creative Commons BY-NC licence
#Level	Identifier	Hanzi	PinYin	Translations
1	57	里	lǐ	li (Chinese mile), 500 meters (modern), home, hometown, village, neighborhood, administrative unit,
1	58	零	líng	zero, nought, zero sign, fractional, fragmentary, odd (of numbers), (placed between two numbers to indicate a smaller quantity followed by a larger one), fraction, (in mathematics) remainder (after division), extra, to wither and fall, to wither,
1	59	六	liù	six, 6,
1	60	妈妈	mā ma	mama, mommy, mother, CL:個|个,位[wèi],
1	61	吗	ma	(question tag),
1	62	买	mǎi	to buy, to purchase,
1	63	猫	māo	cat, CL:隻|只[zhī],
1	64	没	méi	(negative prefix for verbs), have not, not,
1	65	没关系	méi guān xi	it doesn't matter,
1	66	米饭	mǐ fàn	(cooked) rice,
1	67	明天	míng tiān	tomorrow,
1	68	名字	míng zi	name (of a person or thing), CL:個|个[gè],
1	69	哪	nǎ	how, which,
1	70	那	nà	that, those, then (in that case), commonly pr.  before a classifier, esp. in Beijing,
1	71	呢	ne	particle indicating that a previously asked question is to be applied to the preceding word ("What about ...?", "And ...?"), particle for inquiring about location ("Where is ...?"), particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board ("ok?", "are you with me?"), (at the end of a declarative sentence) particle indicating continuation of a state or action, particle indicating strong affirmation,
1	72	能	néng	to be able to, to be capable of, ability, capability, able, capable, can possibly, (usually used in the negative) to have the possibility of,
1	73	你	nǐ	you (informal, as opposed to courteous 您),
1	74	年	nián	year, CL:個|个[gè],
1	75	女儿	nǚ ér	daughter,
1	76	朋友	péng you	friend, CL:個|个,位[wèi],
1	77	漂亮	piào liang	pretty, beautiful,
1	78	苹果	píng guǒ	apple, CL:個|个,顆|颗[kē],
1	79	七	qī	seven, 7,
